台湾频道,#genre#
五大联赛经典,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/897.m3u8
劲爆体育,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/898.m3u8
UK: Sky Sports Premier League FHD 1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/901.m3u8
UK: Sky Sports Premier League FHD 2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/902.m3u8
PPV| HUB PREMIER 2 FHD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/905.m3u8
Hub Premier 2 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/906.m3u8
Astro SuperSport 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/907.m3u8
BeIN Sport Arabic 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/908.m3u8
UK: Sky Sports Main Event 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/909.m3u8
SKY SPORTS FOOTBALL,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/910.m3u8
ELEVEN SPORTS 4K [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/911.m3u8
ELEVEN SPORTS 1 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/912.m3u8
ELEVEN SPORTS 2 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/913.m3u8
ELEVEN SPORTS 3 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/914.m3u8
ELEVEN SPORTS 4 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/915.m3u8
ELEVEN SPORTS 5 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/916.m3u8
ELEVEN SPORTS 6 [葡语],https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/917.m3u8
中国足球风云,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/899.m3u8
TVB,#genre#
翡翠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/201.m3u8
翡翠台 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/202.m3u8
明珠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/203.m3u8
TVB Plus,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/204.m3u8
無線新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/205.m3u8
華語劇台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/206.m3u8
鳳凰衛視中文台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/207.m3u8
鳳凰衛視資訊台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/208.m3u8
鳳凰衛視香港台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/209.m3u8
黃金翡翠台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/210.m3u8
黃金華劇台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/211.m3u8
亞洲劇台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/212.m3u8
亞洲新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/213.m3u8
創世電視,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/214.m3u8
千禧經典台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/215.m3u8
天映經典頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/216.m3u8
娛樂新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/217.m3u8
戲曲台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/218.m3u8
東方衛視國際頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/219.m3u8
無線衛星亞洲台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/220.m3u8
myTV SUPER 18台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/221.m3u8
無線衛星新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/222.m3u8
神州新聞台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/223.m3u8
粵語片台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/224.m3u8
美亞電影台,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/225.m3u8
中國電影頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/226.m3u8
Animax,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/227.m3u8
Arirang TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/228.m3u8
AXN,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/229.m3u8
CGTN (中國環球電視網)英語頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/230.m3u8
CGTN (中國環球電視網)記錄頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/231.m3u8
NHK World-Japan,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/232.m3u8
Nick Jr.,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/233.m3u8
Nickelodeon,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/234.m3u8
PopC,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/235.m3u8
ROCK Action,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/236.m3u8
ROCK 綜藝娛樂,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/237.m3u8
SUPER Kids,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/238.m3u8
Thrill,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/239.m3u8
tvN,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/240.m3u8
ZooMoo,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/241.m3u8
中央電視台綜合頻道 (港澳版),https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/242.m3u8
半島電視台英語頻道,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/243.m3u8
DW,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/244.m3u8
FashionBox,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/245.m3u8
France 24,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/246.m3u8
Global Trekker,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/247.m3u8
KIX,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/248.m3u8
Love Nature HD,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/249.m3u8
Love Nature 4K,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/250.m3u8
DAZN,#genre#
AC Millan TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/251.m3u8
ACL CORNHOLE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/252.m3u8
BILLARD TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/253.m3u8
BOXIN TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/254.m3u8
DAZN 1 DE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/255.m3u8
Dazn 1 ES,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/256.m3u8
DAZN 1 UK,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/257.m3u8
DAZN 2 DE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/258.m3u8
Dazn 2 ES,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/259.m3u8
Dazn combat,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/260.m3u8
DAZN F1,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/261.m3u8
Dazn fast,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/262.m3u8
DAZN LaLiga ES,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/263.m3u8
DAZN PPV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/264.m3u8
Dazn rise,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/265.m3u8
DAZN RISE DE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/266.m3u8
Dazn womens football,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/267.m3u8
ELEVEN 1 BE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/268.m3u8
ELEVEN 1 FR,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/269.m3u8
ELEVEN 1 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/270.m3u8
ELEVEN 2 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/271.m3u8
ELEVEN 3 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/272.m3u8
ELEVEN 4 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/273.m3u8
ELEVEN 5 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/274.m3u8
ELEVEN 6 PT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/275.m3u8
ELEVEN Pro League 1 BE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/276.m3u8
ELEVEN Pro League 1 FR,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/277.m3u8
Eurosport 1 DE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/278.m3u8
Eurosport 1 ES,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/279.m3u8
Eurosport 1 IT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/280.m3u8
Eurosport 2 DE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/281.m3u8
Eurosport 2 ES,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/282.m3u8
Eurosport 2 IT,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/283.m3u8
HYPERMOTION,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/284.m3u8
Inter TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/285.m3u8
Matchroom Boxing,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/286.m3u8
Matchroom Boxing OPC2,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/287.m3u8
Milan TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/288.m3u8
MLB Network,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/289.m3u8
MOTO AMERICA,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/290.m3u8
MOTORVISION TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/291.m3u8
NBA TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/292.m3u8
NFL Network,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/293.m3u8
PADEL TIME TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/294.m3u8
PDC DARTS,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/295.m3u8
Play Sports 1 BE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/296.m3u8
Play Sports 2 BE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/297.m3u8
Play Sports 3 BE,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/298.m3u8
PLL NETWORK,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/299.m3u8
RALLY TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/300.m3u8
Redbull TV,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/301.m3u8
Sportdigital Fussball,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/302.m3u8
Sports Digital,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/303.m3u8
SportStak,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/304.m3u8
UNBEATEN,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/305.m3u8
WWE Network,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/306.m3u8
Zona Dazn,https://www.pendy.us.kg:443/live/ceshi8899/ceshi8899/307.m3u8

