🇹🇼弯弯综合,#genre#
CCTV6,http://101.200.122.188/tv/migu085.php?id=cctv6
CCTV7,http://101.200.122.188/tv/migu085.php?id=cctv7
CCTV8,http://101.200.122.188/tv/migu085.php?id=cctv8
CCTV9,http://101.200.122.188/tv/migu085.php?id=cctv9
CCTV10,http://101.200.122.188/tv/migu085.php?id=cctv10
CCTV11,http://101.200.122.188/tv/migu085.php?id=cctv11
CCTV12,http://101.200.122.188/tv/migu085.php?id=cctv12
CCTV13,http://101.200.122.188/tv/migu085.php?id=cctv13
CCTV14,http://101.200.122.188/tv/migu085.php?id=cctv14
CCTV15,http://101.200.122.188/tv/migu085.php?id=cctv15
CCTV17,http://101.200.122.188/tv/migu085.php?id=cctv17
CCTV1,http://diyp.uk.to/zb/1725695663.php?id=cctv1
CCTV2,http://diyp.uk.to/zb/1725695663.php?id=cctv2
CCTV3,http://diyp.uk.to/zb/1725695663.php?id=cctv3
CCTV4,http://diyp.uk.to/zb/1725695663.php?id=cctv4
CCTV5,http://diyp.uk.to/zb/1725695663.php?id=cctv5
CCTV5+,http://diyp.uk.to/zb/1725695663.php?id=cctv5p
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7,http://diyp.uk.to/zb/1725695663.php?id=cctv7
CCTV8,http://diyp.uk.to/zb/1725695663.php?id=cctv8
CCTV9,http://diyp.uk.to/zb/1725695663.php?id=cctv9
CCTV10,http://diyp.uk.to/zb/1725695663.php?id=cctv10
CCTV11,http://diyp.uk.to/zb/1725695663.php?id=cctv11
CCTV12,http://diyp.uk.to/zb/1725695663.php?id=cctv12
CCTV13,http://diyp.uk.to/zb/1725695663.php?id=cctv13
CCTV14,http://diyp.uk.to/zb/1725695663.php?id=cctv14
CCTV15,http://diyp.uk.to/zb/1725695663.php?id=cctv15
CCTV16,http://diyp.uk.to/zb/1725695663.php?id=cctv16
CCTV17,http://diyp.uk.to/zb/1725695663.php?id=cctv17
CCTV1,http://home.oxtv.top:5066/udp/239.21.1.1:5002
CCTV1,http://home.oxtv.top:5066/udp/239.21.1.120:5002
CCTV2,http://home.oxtv.top:5066/udp/239.21.1.2:5002
CCTV2,http://home.oxtv.top:5066/udp/239.21.1.151:5002
CCTV3,http://home.oxtv.top:5066/udp/239.21.1.3:5002
CCTV3,http://home.oxtv.top:5066/udp/239.21.2.45:5002
CCTV4,http://home.oxtv.top:5066/udp/239.21.1.4:5002
CCTV4,http://home.oxtv.top:5066/udp/239.21.1.154:5002
CCTV4北美,http://home.oxtv.top:5066/udp/239.21.2.29:5002
CCTV4欧洲,http://home.oxtv.top:5066/udp/239.21.2.28:5002
CCTV5,http://home.oxtv.top:5066/udp/239.21.1.5:5002
CCTV5,http://home.oxtv.top:5066/udp/239.21.2.46:5002
CCTV5+,http://home.oxtv.top:5066/udp/239.21.1.142:5002
CCTV5+ LD,http://home.oxtv.top:5066/udp/239.21.1.190:5002
CCTV6,http://home.oxtv.top:5066/udp/239.21.1.6:5002
CCTV6,http://home.oxtv.top:5066/udp/239.21.2.47:5002
CCTV7,http://home.oxtv.top:5066/udp/239.21.1.7:5002
CCTV7,http://home.oxtv.top:5066/udp/239.21.1.152:5002
CCTV8,http://home.oxtv.top:5066/udp/239.21.1.8:5002
CCTV8,http://home.oxtv.top:5066/udp/239.21.2.48:5002
CCTV9,http://home.oxtv.top:5066/udp/239.21.1.9:5002
CCTV9,http://home.oxtv.top:5066/udp/239.21.1.153:5002
CCTV10,http://home.oxtv.top:5066/udp/239.21.1.11:5002
CCTV10,http://home.oxtv.top:5066/udp/239.21.1.155:5002
CCTV11,http://home.oxtv.top:5066/udp/239.21.1.12:5002
CCTV11,http://home.oxtv.top:5066/udp/239.21.2.2:5002
CCTV12,http://home.oxtv.top:5066/udp/239.21.1.13:5002
CCTV12,http://home.oxtv.top:5066/udp/239.21.1.156:5002
CCTV13,http://home.oxtv.top:5066/udp/239.21.1.14:5002
CCTV13,http://home.oxtv.top:5066/udp/239.21.2.1:5002
CCTV13,http://home.oxtv.top:5066/udp/239.21.2.3:5002
CCTV14,http://home.oxtv.top:5066/udp/239.21.1.15:5002
CCTV14,http://home.oxtv.top:5066/udp/239.21.1.157:5002
CCTV15,http://home.oxtv.top:5066/udp/239.21.1.16:5002
CCTV15,http://home.oxtv.top:5066/udp/239.21.2.4:5002
CCTV16,http://home.oxtv.top:5066/udp/239.21.2.51:5002
CCTV17,http://home.oxtv.top:5066/udp/239.21.1.186:5002
CCTV17,http://home.oxtv.top:5066/udp/239.21.1.206:5002
CCTV4K,http://diyp.uk.to/zb/1725695663.php?id=cctv4k
世界地理,http://home.yulei.online:9999/rtp/226.0.2.222:9688
兵器科技,http://diyp.uk.to/zb/1725695663.php?id=bqkj
第一剧场,http://diyp.uk.to/zb/1725695663.php?id=dyjc
怀旧剧场,http://diyp.uk.to/zb/1725695663.php?id=hjjc
风云剧场,http://diyp.uk.to/zb/1725695663.php?id=fyjc
风云音乐,http://diyp.uk.to/zb/1725695663.php?id=fyyy
风云足球,http://diyp.uk.to/zb/1725695663.php?id=fyzq
女性时尚,http://diyp.uk.to/zb/1725695663.php?id=nxss
文化精品,http://diyp.uk.to/zb/1725695663.php?id=whjp
高尔网球,http://diyp.uk.to/zb/1725695663.php?id=gefwq
央视台球,http://diyp.uk.to/zb/1725695663.php?id=ystq
早期教育,http://diyp.uk.to/zb/1725695663.php?id=zqjy
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
中国教壹,http://diyp.uk.to/zb/1725695663.php?id=cetv1
中国教肆,http://diyp.uk.to/zb/1725695663.php?id=cetv4
中国天气,http://diyp.uk.to/zb/1725695663.php?id=zgtq
中国书画,http://diyp.uk.to/zb/1725695663.php?id=sh
中国交通,http://123.120.6.151:4022/rtp/239.3.1.188:8001
CETV1台,http://117.161.12.124/live/program/live/zgjy1t8m/8000000/mnf.m3u8
CETV4台,http://117.161.12.124/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
五星体育,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
劲爆体育,http://117.161.12.124/live/program/live/jbtyhd8m/8000000/mnf.m3u8
新视觉HD,http://117.161.12.124/live/program/live/xsjhd8m/8000000/mnf.m3u8
魅力足球,http://diyp.uk.to/zb/1725695663.php?id=mlxq
重温经典,http://diyp.uk.to/zb/1725695663.php?id=cwjd
动作电影,http://diyp.uk.to/zb/1725695663.php?id=chcdz
家庭影院,http://diyp.uk.to/zb/1725695663.php?id=chcjt
影迷电影,http://diyp.uk.to/zb/1725695663.php?id=chcgq

🇨🇳卫视频道,#genre#
山东卫视,http://59.173.183.242:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://124.128.73.58:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.166.61.70:8003/hls/58/index.m3u8
东方卫视,http://123.166.61.70:8003/hls/22/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
北京卫视,http://123.166.61.70:8003/hls/56/index.m3u8
天津卫视,http://123.166.61.70:8003/hls/57/index.m3u8
安徽卫视,http://123.166.61.70:8003/hls/55/index.m3u8
广东卫视,http://123.166.61.70:8003/hls/21/index.m3u8
深圳卫视,http://123.166.61.70:8003/hls/61/index.m3u8
四川卫视,http://123.166.61.70:8003/hls/24/index.m3u8
重庆卫视,http://123.166.61.70:8003/hls/62/index.m3u8
东南卫视,http://123.166.61.70:8003/hls/53/index.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
河南卫视,http://123.166.61.70:8003/hls/52/index.m3u8#http://117.72.68.25:9930/hn.php?id=hnws
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=f1b16a3a3866dafecb94ec2bb4160e58#http://tv.pull.hebtv.com/jishi/weishipindao.flv?t=2510710360&k=689e494c226aa7038632a897aa3dbd27#rtmp://tv.pull.hebtv.com/jishi/weishipindao?t=2510710360&k=6cdf3c059a496f8c8375f86e1fb53346
黑龙江卫视,http://123.166.61.70:8003/hls/14/index.m3u8
黑龙江新闻法治,http://123.166.61.70:8003/hls/51/index.m3u8
辽宁卫视,http://123.166.61.70:8003/hls/20/index.m3u8
贵州卫视,http://123.166.61.70:8003/hls/54/index.m3u8
甘肃卫视,rtmp://livein.gstv.com.cn/49048r/y3nga4
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
海南卫视,http://123.166.61.70:8003/hls/63/index.m3u8
三沙卫视,http://host.gaoxincloud.cn:4000/udp/239.111.205.52:5140
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202#https://test5.btzx.com.cn/live/2023bt.stream/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
东南卫视,http://113.57.20.158:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://116.128.242.83:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://202.100.46.58:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://59.173.183.242:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://61.136.172.236:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.3.138.25:1111/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://116.128.224.11:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://124.94.193.136:9902/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://124.94.193.136:9902/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://36.35.16.98:9901/tsfile/live/0001_16.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://202.100.46.58:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://124.94.193.136:9902/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://59.173.243.210:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://116.128.224.11:9901/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://59.173.243.210:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://59.173.183.242:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://124.94.193.136:9902/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://116.128.224.11:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://61.136.172.236:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://58.57.21.166:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://116.128.242.83:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://116.128.224.11:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://124.94.193.136:9902/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://116.128.224.11:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://58.216.229.130:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://58.57.21.166:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://124.94.193.136:9902/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://59.173.183.242:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://61.136.172.236:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://124.94.193.136:9902/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://124.94.193.136:9902/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://124.128.73.58:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://36.35.16.98:9901/tsfile/live/0001_10.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://116.128.224.11:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://202.100.46.58:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://124.94.193.136:9902/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://59.173.183.242:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://61.136.172.236:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://59.173.183.242:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://116.128.224.11:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://202.100.46.58:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://59.173.183.242:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://116.128.224.11:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://59.173.183.242:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://124.94.193.136:9902/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://59.173.183.242:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://116.128.224.11:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://59.173.183.242:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://116.128.224.11:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://59.173.183.242:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://124.94.193.136:9902/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://116.128.224.11:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://124.94.193.136:9902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://59.173.183.242:9901/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://59.173.183.242:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://202.100.46.58:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://59.173.183.242:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.163.199.98:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://59.173.183.242:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://202.100.46.58:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://124.94.193.136:9902/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://123.138.216.44:9902/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0

上海卫视,http://124.128.73.58:9901/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://119.163.199.98:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://59.173.183.242:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://116.128.242.83:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://116.128.242.83:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.129.70.178:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://110.53.218.182:9902/tsfile/live/0107_2.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://110.53.218.182:9902/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://116.128.224.11:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://124.128.73.58:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://58.216.229.130:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://36.35.16.98:9901/tsfile/live/0001_16.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://119.163.199.98:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://119.163.199.98:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://110.53.218.182:9902/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://116.128.224.11:9901/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
